Name,date,pages
Autonomous Body,1-1-2026 to 1-4-2026,8
Central Government,,
Central PSU,,
Comptroller and Auditor General (CAG) of India,,
Election Commission of India,,
GOA,,
Indian Atomic Industrial Forum (IAIF),,
Insurance Regulatory and Development Authority (IRDA),,
LADAKH,,
Law Commission of India,,
Lok Sabha Secretariat,,
MIZORAM,,
Ministry of AYUSH,,
Ministry of Agriculture and Farmers Welfare,,
Ministry of Chemicals and Fertilizers,,
Ministry of Civil Aviation,,
Ministry of Coal,,
Ministry of Commerce and Industry,,
Ministry of Communications,,
Ministry of Consumer Affairs Food and Public Distribution,,
Ministry of Corporate Affairs,,
Ministry of Culture,,
Ministry of Development of North Eastern Region,,
Ministry of Drinking Water and Sanitation,,
Ministry of Earth Sciences,,
Ministry of Education,,
Ministry of Electronics and Information Technology,,
Ministry of Environment Forest and Climate Change,,
Ministry of External Affairs,,
Ministry of Finance,,
Ministry of Food Processing Industries,,
Ministry of Health and Family Welfare,,
Ministry of Heavy Industries and Public Enterprises,,
Ministry of Housing & Urban Affairs (MoHUA),,
Ministry of Housing and Urban Poverty Alleviation,,
Ministry of Human Resource Development,,
Ministry of Information and Broadcasting,,
Ministry of Labour and Employment,,
Ministry of Law and Justice,,
Ministry of Micro Small and Medium Enterprises,,
Ministry of Mines,,
Ministry of Minority Affairs,,
Ministry of New and Renewable Energy,,
Ministry of Panchayati Raj,,
Ministry of Parliamentary Affairs,,
Ministry of Personnel Public Grievances and Pensions,,
Ministry of Petroleum and Natural Gas,,
"Ministry of Ports, Shipping and Waterways",,
Ministry of Power,,
Ministry of Railways,,
Ministry of Road Transports and highways,,
Ministry of Rural Development,,
Ministry of Science and Technology,,
Ministry of Skill Development and Entrepreneurship,,
Ministry of Social Justice and Empowerment,,
Ministry of Statistics and Programme Implementation,,
Ministry of Steel,,
Ministry of Textiles,,
Ministry of Tourism,,
Ministry of Tribal Affairs,,
Ministry of Urban Development,,
Ministry of Water Resources River Development and Ganga Rejuvenation,,
Ministry of Women and Child Development,,
Ministry of Youth Affairs and Sports,,
NITI Aayog - National Institution for Transforming India,,
National Commission for Scheduled Tribes (NCST),,
"National Mission for Clean Ganga (NMCG), New Delhi",,
National Rural Livelihoods Mission (NRLM) - Aajeevika,,
Office of the Principal Scientific Adviser,,
Organisation Incomplete,,
President of India,,
Primary User,,
Rajya Sabha Secretariat,,
SIKKIM,,
"Seventh Central Pay Commission, New Delhi",,
Staff Selection Commission,,
Union Public Service Commission (UPSC),,
Vice President of India,,
